Candidate ID,Interview Score,Reference Check,Communication Skill Level,Cultural Fit,Preferred Work Environment,Date of Interview,Date of Decision,Hired
1,2,Positive,Good,Strong Fit,Flexible,4/19/2023,5/8/2023,No
2,4,Neutral,Below Average,Strong Mismatch,Fully Remote,6/28/2023,7/18/2023,No
3,4,Neutral,Average,Fit,In-Office,2/16/2023,3/6/2023,No
4,6,Positive,Poor,Slight Mismatch,Flexible,8/23/2023,9/13/2023,No
5,3,Neutral,Excellent,Strong Fit,Hybrid,5/25/2023,6/10/2023,No
6,10,Neutral,Good,Strong Fit,Field Work,6/22/2023,7/8/2023,No
7,6,Positive,Excellent,Neutral,Field Work,5/31/2023,6/17/2023,No
8,1,Negative,Poor,Strong Fit,Fully Remote,2/16/2023,3/6/2023,No
9,9,Negative,Excellent,Strong Mismatch,In-Office,3/29/2023,4/18/2023,No
10,1,Positive,Good,Fit,Hybrid,8/30/2023,9/14/2023,No
11,10,Positive,Below Average,Slight Mismatch,Field Work,7/19/2023,8/7/2023,No
12,9,Positive,Below Average,Strong Fit,In-Office,2/1/2023,2/20/2023,No
13,7,Neutral,Average,Strong Mismatch,Fully Remote,3/30/2023,4/19/2023,No
14,1,Negative,Poor,Strong Mismatch,Fully Remote,1/25/2023,2/16/2023,No
15,9,Neutral,Good,Strong Mismatch,Flexible,5/25/2023,6/14/2023,No
16,7,Positive,Excellent,Strong Fit,Hybrid,2/1/2023,2/16/2023,No
17,5,Neutral,Below Average,Strong Fit,In-Office,5/4/2023,5/19/2023,No
18,6,Positive,Below Average,Neutral,Hybrid,5/31/2023,6/19/2023,No
19,7,Negative,Average,Neutral,In-Office,2/22/2023,3/12/2023,No
20,6,Negative,Good,Strong Fit,Hybrid,4/20/2023,5/12/2023,No
21,8,Neutral,Average,Fit,Fully Remote,1/25/2023,2/15/2023,No
22,3,Positive,Average,Strong Mismatch,Field Work,2/1/2023,2/20/2023,No
23,3,Negative,Average,Neutral,Hybrid,5/24/2023,6/13/2023,No
24,8,Negative,Poor,Neutral,Field Work,3/22/2023,4/9/2023,No
25,1,Neutral,Poor,Neutral,Flexible,4/5/2023,4/22/2023,No
26,10,Negative,Excellent,Strong Mismatch,Flexible,7/27/2023,8/15/2023,No
27,8,Neutral,Excellent,Fit,Hybrid,7/5/2023,7/25/2023,No
28,7,Negative,Average,Neutral,Hybrid,1/25/2023,2/9/2023,No
29,9,Positive,Good,Strong Mismatch,Field Work,7/5/2023,7/22/2023,No
30,6,Positive,Below Average,Strong Mismatch,In-Office,4/5/2023,4/20/2023,No
31,8,Positive,Poor,Strong Fit,Field Work,5/11/2023,6/1/2023,No
32,5,Positive,Average,Strong Mismatch,Fully Remote,4/27/2023,5/18/2023,No
33,10,Neutral,Excellent,Neutral,Hybrid,8/30/2023,9/15/2023,No
34,10,Neutral,Good,Neutral,In-Office,8/9/2023,8/29/2023,No
35,8,Neutral,Excellent,Strong Mismatch,In-Office,2/15/2023,3/9/2023,Yes
36,9,Negative,Poor,Slight Mismatch,In-Office,3/29/2023,4/18/2023,No
37,8,Negative,Average,Strong Mismatch,Field Work,5/11/2023,5/27/2023,No
38,6,Positive,Excellent,Fit,Fully Remote,3/15/2023,3/30/2023,No
39,8,Neutral,Excellent,Fit,Fully Remote,5/24/2023,6/8/2023,No
40,3,Neutral,Average,Strong Mismatch,In-Office,6/14/2023,7/3/2023,No
41,2,Positive,Below Average,Strong Mismatch,Flexible,7/27/2023,8/17/2023,No
42,4,Negative,Below Average,Strong Fit,Flexible,2/23/2023,3/12/2023,No
43,4,Negative,Below Average,Fit,Hybrid,1/19/2023,2/5/2023,No
44,4,Negative,Average,Strong Fit,In-Office,5/17/2023,6/7/2023,No
45,7,Neutral,Poor,Strong Mismatch,In-Office,4/19/2023,5/4/2023,No
46,8,Positive,Good,Neutral,In-Office,6/22/2023,7/11/2023,No
47,2,Neutral,Good,Strong Fit,Field Work,4/27/2023,5/17/2023,No
48,2,Positive,Good,Slight Mismatch,Field Work,1/12/2023,2/3/2023,No
49,1,Positive,Average,Fit,Hybrid,2/15/2023,3/8/2023,No
50,6,Neutral,Poor,Fit,Field Work,8/30/2023,9/19/2023,No
51,9,Neutral,Excellent,Slight Mismatch,In-Office,3/29/2023,4/15/2023,No
52,5,Negative,Excellent,Slight Mismatch,Hybrid,6/29/2023,7/18/2023,No
53,3,Neutral,Below Average,Slight Mismatch,Field Work,3/16/2023,4/3/2023,No
54,4,Positive,Poor,Strong Fit,Fully Remote,4/20/2023,5/7/2023,No
55,8,Negative,Good,Slight Mismatch,Flexible,3/29/2023,4/15/2023,No
56,2,Neutral,Excellent,Neutral,Hybrid,5/3/2023,5/25/2023,No
57,4,Neutral,Good,Strong Mismatch,In-Office,5/18/2023,6/9/2023,No
58,3,Neutral,Good,Slight Mismatch,Field Work,4/13/2023,5/2/2023,No
59,3,Positive,Excellent,Slight Mismatch,Flexible,2/9/2023,3/1/2023,No
60,5,Neutral,Poor,Strong Mismatch,In-Office,4/19/2023,5/4/2023,No
61,7,Neutral,Good,Strong Fit,Field Work,4/13/2023,4/28/2023,No
62,4,Neutral,Good,Neutral,Field Work,8/10/2023,8/28/2023,No
63,6,Positive,Good,Strong Mismatch,Fully Remote,2/16/2023,3/3/2023,No
64,7,Neutral,Poor,Strong Fit,Flexible,8/23/2023,9/7/2023,No
65,8,Negative,Below Average,Fit,Hybrid,3/22/2023,4/10/2023,No
66,3,Positive,Excellent,Strong Fit,Fully Remote,5/10/2023,5/26/2023,No
67,1,Negative,Below Average,Slight Mismatch,Hybrid,1/26/2023,2/17/2023,No
68,10,Neutral,Poor,Slight Mismatch,Hybrid,6/28/2023,7/19/2023,No
69,5,Neutral,Excellent,Strong Fit,Fully Remote,6/22/2023,7/12/2023,No
70,8,Negative,Average,Slight Mismatch,Field Work,6/8/2023,6/28/2023,No
71,9,Neutral,Good,Strong Fit,Hybrid,3/1/2023,3/16/2023,No
