Candidate ID,Age,Gender,Position Applied For,Years of Experience,Education Level,Graduated from Elite College,Different Location,LinkedIn Profile,LinkedIn Connections
1,24,Male,Software Engineer,9,PhD,No,Yes,No,0
2,23,Female,Software Engineer,7,PhD,No,No,Yes,642
3,30,Female,Web Developer,9,Bachelor's,No,No,Yes,427
4,23,Male,System Analyst,7,High School,No,No,No,0
5,29,Female,Database Administrator,0,Bachelor's,No,No,No,0
6,30,Male,Data Scientist,7,High School,Yes,No,No,0
7,22,Male,Data Scientist,10,High School,Yes,Yes,Yes,232
8,27,Male,System Analyst,1,PhD,No,No,No,0
9,30,Female,Web Developer,10,Bachelor's,No,Yes,No,0
10,25,Male,Data Scientist,7,Bachelor's,No,Yes,No,0
11,31,Female,Data Scientist,7,Master's,No,Yes,No,0
12,31,Female,Data Scientist,5,Master's,No,No,No,0
13,22,Female,Data Scientist,3,Master's,No,Yes,No,0
14,30,Female,Web Developer,5,PhD,No,No,No,0
15,29,Female,Data Scientist,5,PhD,No,Yes,Yes,858
16,27,Female,Software Engineer,10,High School,No,No,Yes,194
17,24,Male,Software Engineer,5,PhD,No,Yes,Yes,132
18,28,Male,Web Developer,9,Master's,Yes,No,No,0
19,25,Male,Software Engineer,0,Bachelor's,Yes,Yes,No,0
20,22,Male,Web Developer,4,Bachelor's,No,Yes,No,0
21,22,Female,Web Developer,6,High School,No,No,Yes,415
22,28,Female,System Analyst,9,PhD,No,No,Yes,779
23,23,Male,System Analyst,8,Bachelor's,Yes,Yes,No,0
24,23,Male,Software Engineer,9,Bachelor's,Yes,Yes,No,0
25,24,Female,Web Developer,8,High School,No,Yes,Yes,288
26,30,Female,System Analyst,8,Bachelor's,Yes,No,No,0
27,27,Female,Software Engineer,4,PhD,No,No,No,0
28,24,Female,Software Engineer,10,Bachelor's,No,Yes,No,0
29,24,Male,System Analyst,1,Bachelor's,No,No,No,0
30,24,Male,Web Developer,0,PhD,Yes,No,No,0
31,27,Male,Web Developer,9,Bachelor's,No,No,Yes,152
32,29,Female,System Analyst,5,Master's,No,No,No,0
33,31,Male,Data Scientist,0,Master's,No,No,No,0
34,31,Male,Data Scientist,9,Bachelor's,No,Yes,No,0
35,24,Female,System Analyst,8,Bachelor's,No,No,No,0
36,23,Female,Database Administrator,0,High School,Yes,Yes,No,0
37,22,Female,Software Engineer,8,Bachelor's,No,No,No,0
38,24,Male,System Analyst,6,High School,Yes,Yes,Yes,63
39,25,Female,Web Developer,5,High School,No,Yes,Yes,835
40,30,Male,System Analyst,9,Master's,Yes,No,Yes,576
41,25,Male,Web Developer,9,PhD,No,Yes,No,0
42,23,Male,Data Scientist,7,High School,No,No,No,0
43,24,Female,Software Engineer,10,Master's,No,No,No,0
44,31,Male,System Analyst,4,PhD,Yes,Yes,No,0
45,24,Male,System Analyst,0,PhD,No,Yes,No,0
46,30,Female,Data Scientist,9,High School,No,Yes,Yes,83
47,32,Male,Database Administrator,1,Master's,No,No,Yes,150
48,29,Female,System Analyst,6,Master's,No,No,Yes,462
49,23,Male,Database Administrator,10,PhD,No,Yes,No,0
50,30,Male,Web Developer,7,Master's,No,Yes,No,0
51,28,Female,Software Engineer,1,High School,No,Yes,Yes,73
52,23,Female,Data Scientist,3,Master's,No,No,No,0
53,22,Male,Database Administrator,2,High School,No,Yes,No,0
54,26,Female,System Analyst,3,High School,No,Yes,Yes,470
55,30,Male,Data Scientist,1,Bachelor's,No,Yes,No,0
56,32,Female,Software Engineer,10,PhD,No,Yes,Yes,689
57,25,Female,Software Engineer,2,PhD,No,No,No,0
58,28,Male,Software Engineer,3,Master's,Yes,Yes,No,0
59,24,Male,Web Developer,7,High School,No,Yes,No,0
60,23,Female,Data Scientist,9,Master's,No,No,No,0
61,24,Female,Data Scientist,2,Bachelor's,No,Yes,No,0
62,26,Female,Software Engineer,5,Bachelor's,No,No,Yes,193
63,31,Male,Web Developer,6,High School,Yes,No,No,0
64,31,Male,Web Developer,10,Master's,Yes,Yes,No,0
65,24,Male,Database Administrator,2,Bachelor's,No,Yes,No,0
66,25,Female,System Analyst,8,Master's,Yes,Yes,No,0
67,25,Male,Database Administrator,2,Bachelor's,No,No,No,0
68,22,Female,Database Administrator,10,Bachelor's,Yes,No,No,0
69,31,Female,Web Developer,0,PhD,No,Yes,No,0
70,29,Female,Software Engineer,1,Master's,Yes,Yes,No,0
71,24,Male,Software Engineer,9,High School,No,Yes,No,0
72,27,Female,Data Scientist,3,PhD,No,Yes,Yes,693
73,31,Female,Web Developer,7,High School,No,Yes,No,0
74,23,Male,Database Administrator,6,Master's,No,No,No,0
75,29,Female,System Analyst,10,High School,No,Yes,Yes,83
76,28,Male,Data Scientist,5,Master's,Yes,No,No,0
77,27,Male,Data Scientist,3,Master's,No,No,No,0
78,25,Female,System Analyst,1,PhD,No,Yes,Yes,359
79,22,Male,System Analyst,5,Bachelor's,No,Yes,Yes,31
80,23,Female,Database Administrator,9,PhD,Yes,Yes,Yes,5
81,29,Female,Web Developer,3,High School,No,No,No,0
82,27,Female,System Analyst,6,PhD,No,No,No,0
83,29,Female,System Analyst,4,Bachelor's,Yes,No,No,0
84,31,Male,Database Administrator,10,Master's,No,No,No,0
85,22,Male,Data Scientist,0,High School,No,No,No,0
86,32,Female,Data Scientist,10,Bachelor's,No,Yes,Yes,650
87,32,Male,Data Scientist,5,Master's,No,No,No,0
88,26,Male,Data Scientist,1,Master's,No,No,Yes,414
89,23,Female,System Analyst,5,Bachelor's,Yes,No,No,0
90,22,Male,Data Scientist,0,Bachelor's,No,No,Yes,819
91,24,Male,Software Engineer,4,PhD,No,Yes,No,0
92,32,Male,Web Developer,4,High School,No,Yes,No,0
93,24,Female,Web Developer,10,High School,No,No,Yes,351
94,27,Male,Database Administrator,5,PhD,No,No,No,0
95,22,Female,Web Developer,1,Master's,No,No,No,0
96,29,Female,Web Developer,6,Master's,No,Yes,No,0
97,32,Female,Data Scientist,0,High School,No,Yes,No,0
98,24,Male,Database Administrator,10,PhD,Yes,Yes,No,0
99,29,Female,Database Administrator,2,Master's,No,Yes,No,0
100,24,Female,System Analyst,9,High School,Yes,No,No,0
101,24,Female,Database Administrator,8,PhD,No,Yes,Yes,553
102,25,Female,Software Engineer,2,PhD,No,No,Yes,915
103,28,Female,System Analyst,6,High School,Yes,Yes,No,0
104,28,Male,Software Engineer,2,PhD,No,No,Yes,707
105,29,Female,Web Developer,1,High School,No,Yes,No,0
106,25,Male,System Analyst,8,High School,Yes,Yes,No,0
107,30,Female,Web Developer,9,Bachelor's,No,Yes,No,0
108,29,Male,Web Developer,4,Master's,Yes,Yes,No,0
109,24,Male,Database Administrator,9,Master's,Yes,No,No,0
110,32,Female,System Analyst,6,Bachelor's,No,No,No,0
111,31,Male,Software Engineer,4,Master's,No,No,Yes,317
112,32,Female,Database Administrator,10,PhD,No,No,No,0
113,23,Male,Database Administrator,10,Master's,No,Yes,No,0
114,32,Male,Software Engineer,6,High School,No,No,Yes,822
115,27,Male,Database Administrator,6,High School,No,No,Yes,383
116,32,Male,Software Engineer,0,PhD,No,No,No,0
117,26,Male,Data Scientist,7,Bachelor's,Yes,No,No,0
118,28,Male,Web Developer,10,Master's,Yes,Yes,No,0
119,27,Male,Database Administrator,6,High School,Yes,No,Yes,159
120,31,Female,Data Scientist,4,Bachelor's,No,Yes,No,0
121,31,Male,Database Administrator,2,Master's,No,Yes,No,0
122,22,Female,Data Scientist,10,High School,No,Yes,No,0
123,31,Male,Database Administrator,3,Bachelor's,Yes,No,Yes,180
124,31,Female,Database Administrator,1,High School,Yes,No,No,0
125,26,Male,System Analyst,3,High School,No,Yes,No,0
126,27,Male,Software Engineer,8,PhD,No,No,Yes,920
127,31,Male,Database Administrator,4,High School,Yes,No,Yes,862
128,25,Male,Database Administrator,0,Master's,No,No,Yes,546
129,27,Female,Web Developer,7,High School,No,No,No,0
130,28,Female,Web Developer,10,High School,No,No,No,0
131,27,Female,Data Scientist,8,PhD,No,No,No,0
132,32,Male,Database Administrator,8,Master's,No,Yes,Yes,694
133,24,Female,System Analyst,10,Master's,Yes,No,No,0
134,30,Male,System Analyst,7,PhD,No,Yes,No,0
135,27,Female,Data Scientist,6,Master's,No,Yes,No,0
136,22,Female,Database Administrator,9,High School,No,No,Yes,488
137,28,Male,System Analyst,4,Bachelor's,No,Yes,No,0
138,27,Female,System Analyst,0,Master's,Yes,Yes,Yes,429
139,24,Male,Software Engineer,8,Bachelor's,Yes,No,No,0
140,29,Male,Web Developer,10,Master's,No,No,Yes,453
141,32,Male,Database Administrator,0,High School,No,No,No,0
142,29,Female,Data Scientist,5,Bachelor's,No,Yes,No,0
143,30,Male,Data Scientist,2,Bachelor's,Yes,Yes,No,0
144,26,Female,Web Developer,4,Bachelor's,No,Yes,Yes,140
145,25,Female,Database Administrator,2,Bachelor's,No,Yes,Yes,725
146,30,Female,Web Developer,5,PhD,No,No,No,0
147,23,Male,Data Scientist,3,Bachelor's,Yes,No,Yes,901
148,23,Male,Web Developer,5,Master's,No,No,No,0
149,30,Female,Database Administrator,6,PhD,No,Yes,No,0
150,27,Male,Data Scientist,5,PhD,No,No,No,0
151,31,Male,Software Engineer,2,High School,No,Yes,No,0
152,25,Female,Software Engineer,2,PhD,No,No,No,0
153,31,Male,System Analyst,4,PhD,No,No,Yes,641
154,25,Female,Web Developer,5,Bachelor's,No,Yes,No,0
155,26,Female,Web Developer,6,PhD,No,No,No,0
156,30,Male,Web Developer,5,Bachelor's,Yes,No,Yes,649
157,30,Female,Software Engineer,4,Bachelor's,No,Yes,No,0
158,27,Male,Data Scientist,0,PhD,No,No,No,0
159,27,Female,Software Engineer,8,High School,Yes,No,Yes,940
160,25,Female,Data Scientist,1,Bachelor's,No,Yes,No,0
161,27,Male,System Analyst,7,PhD,No,No,No,0
162,27,Male,Software Engineer,8,PhD,No,No,No,0
163,23,Female,System Analyst,8,PhD,Yes,Yes,No,0
164,24,Male,Software Engineer,6,PhD,No,No,Yes,580
165,24,Male,Software Engineer,0,Bachelor's,Yes,Yes,No,0
166,22,Female,System Analyst,9,PhD,No,No,No,0
167,22,Male,Software Engineer,3,Master's,Yes,Yes,No,0
168,30,Male,Software Engineer,6,PhD,Yes,No,No,0
169,23,Male,Software Engineer,3,High School,No,No,No,0
170,23,Male,Database Administrator,10,Bachelor's,No,Yes,No,0
171,22,Female,Data Scientist,6,PhD,No,Yes,No,0
172,31,Male,Database Administrator,9,Bachelor's,No,Yes,No,0
173,27,Female,Web Developer,2,High School,Yes,Yes,No,0
174,22,Female,System Analyst,2,Bachelor's,No,Yes,No,0
175,31,Female,Web Developer,1,Bachelor's,Yes,Yes,No,0
176,32,Male,Web Developer,3,PhD,No,Yes,No,0
177,30,Male,Data Scientist,3,Bachelor's,No,No,No,0
178,24,Female,Database Administrator,4,High School,No,Yes,No,0
179,29,Male,Web Developer,2,PhD,No,No,Yes,303
180,31,Male,Database Administrator,9,Bachelor's,Yes,No,No,0
181,26,Female,Web Developer,7,PhD,Yes,No,No,0
182,26,Female,System Analyst,3,Master's,No,No,Yes,285
183,30,Female,Web Developer,5,Master's,No,Yes,No,0
184,30,Female,Data Scientist,4,High School,No,No,No,0
185,26,Female,Database Administrator,4,Bachelor's,No,No,No,0
186,32,Female,Database Administrator,3,Master's,No,Yes,No,0
187,29,Male,Database Administrator,4,Bachelor's,No,No,No,0
188,29,Female,Software Engineer,7,High School,No,No,No,0
189,28,Female,Database Administrator,7,High School,Yes,No,Yes,197
190,26,Male,Data Scientist,1,Bachelor's,Yes,No,No,0
191,23,Male,Web Developer,0,Bachelor's,Yes,Yes,Yes,431
192,27,Male,Database Administrator,9,Bachelor's,No,Yes,Yes,608
193,29,Male,Web Developer,3,High School,No,No,No,0
194,24,Male,Web Developer,5,PhD,Yes,Yes,Yes,673
195,32,Female,Web Developer,9,Bachelor's,Yes,No,Yes,990
196,27,Male,Database Administrator,5,PhD,No,Yes,No,0
197,27,Male,Database Administrator,0,Bachelor's,No,No,Yes,85
198,30,Male,Software Engineer,6,Master's,No,Yes,No,0
199,22,Male,System Analyst,7,Bachelor's,No,No,No,0
200,22,Male,Database Administrator,3,Bachelor's,No,Yes,Yes,272
201,31,Male,Database Administrator,4,Master's,No,Yes,No,0
202,31,Female,Web Developer,6,Master's,No,Yes,Yes,756
203,23,Male,Web Developer,2,Master's,No,Yes,No,0
204,24,Female,System Analyst,4,Bachelor's,Yes,No,Yes,453
205,29,Male,Data Scientist,0,PhD,No,No,No,0
206,25,Female,Database Administrator,2,Bachelor's,No,Yes,Yes,434
207,30,Male,Software Engineer,3,High School,No,Yes,No,0
208,29,Male,Software Engineer,1,PhD,No,Yes,Yes,220
209,29,Female,Data Scientist,4,Master's,No,Yes,Yes,290
210,32,Male,Software Engineer,0,Master's,No,Yes,No,0
211,28,Female,Web Developer,1,PhD,No,Yes,No,0
212,32,Female,Database Administrator,9,Master's,No,Yes,No,0
213,28,Female,Data Scientist,9,PhD,No,No,No,0
214,22,Male,Software Engineer,6,High School,Yes,Yes,Yes,457
215,31,Female,System Analyst,3,High School,Yes,No,No,0
216,25,Male,Web Developer,3,PhD,No,No,No,0
217,27,Male,System Analyst,10,High School,No,No,No,0
218,32,Male,Software Engineer,5,Master's,No,Yes,No,0
219,28,Male,System Analyst,9,PhD,Yes,No,No,0
220,24,Male,Data Scientist,6,PhD,No,Yes,Yes,86
221,27,Female,Data Scientist,8,Master's,No,No,Yes,727
222,28,Male,Database Administrator,4,Bachelor's,No,Yes,No,0
223,29,Male,Database Administrator,8,PhD,No,Yes,No,0
224,24,Male,Data Scientist,8,PhD,Yes,No,No,0
225,22,Male,Software Engineer,2,High School,No,No,No,0
226,26,Male,Web Developer,1,High School,Yes,No,No,0
227,32,Male,Web Developer,9,Bachelor's,No,No,No,0
228,22,Female,Software Engineer,9,PhD,No,Yes,No,0
