Candidate ID,GitHub Profile,GitHub Projects,Python Skill Score,Java Skill Score,SQL Skill Score,R Skill Score,Machine Learning Skill Score,HTML Skill Score,CSS Skill Score,JavaScript Skill Score,Technical Test Score
1,No,0,5,9,1,3,9,4,6,1,8
2,Yes,28,9,1,3,3,10,2,7,1,1
3,Yes,6,1,7,2,2,5,4,10,9,6
4,No,0,10,6,1,8,3,10,1,1,9
5,Yes,4,3,5,5,1,6,4,9,2,3
6,Yes,44,2,1,10,10,7,9,10,8,2
7,Yes,22,9,1,1,5,8,4,3,10,7
8,Yes,31,4,1,9,5,6,9,7,4,2
9,No,0,8,8,6,1,4,7,3,3,4
10,No,0,5,10,2,1,7,3,1,9,3
11,No,0,9,3,8,3,7,4,5,4,1
12,No,0,6,9,1,8,8,7,8,1,3
13,No,0,5,1,8,9,5,3,6,10,6
14,No,0,9,5,10,10,9,10,4,4,3
15,Yes,29,5,2,2,5,7,6,6,9,7
16,No,0,3,10,6,4,5,5,8,8,9
17,No,0,6,3,1,6,10,6,9,5,9
18,Yes,3,1,1,3,8,6,4,2,9,7
19,No,0,9,6,5,7,5,6,4,2,2
20,No,0,2,1,8,2,3,10,5,3,7
21,Yes,44,1,3,5,1,3,3,5,7,5
22,Yes,4,2,10,10,1,3,3,1,8,9
23,Yes,17,6,5,1,10,5,3,7,7,8
24,No,0,3,1,9,6,7,10,6,8,2
25,Yes,44,6,4,1,4,3,10,10,2,8
26,No,0,1,6,5,4,9,1,2,4,1
27,No,0,7,8,7,10,2,9,9,4,5
28,Yes,41,2,8,5,5,2,4,2,8,8
29,Yes,23,3,10,6,2,4,5,7,9,8
30,No,0,3,8,8,1,9,1,7,9,6
31,No,0,2,6,2,2,9,7,8,9,4
32,No,0,6,5,2,2,9,5,4,8,7
33,Yes,8,3,7,1,10,8,7,7,2,2
34,No,0,2,6,6,3,2,8,8,2,10
35,No,0,8,7,10,10,4,9,2,7,9
36,No,0,3,5,2,9,7,6,6,1,4
37,Yes,1,2,5,3,9,6,7,4,9,3
38,No,0,3,6,1,8,7,3,4,10,4
39,Yes,37,3,9,1,2,2,5,3,3,3
40,Yes,34,5,4,6,9,4,10,4,4,7
41,Yes,50,5,4,10,6,3,2,2,5,10
42,No,0,3,1,6,4,6,2,9,8,5
43,Yes,32,6,4,1,6,6,2,5,1,10
44,No,0,10,1,10,8,6,7,3,6,3
45,No,0,10,6,2,8,7,9,4,6,5
46,Yes,26,2,3,4,6,8,8,3,2,4
47,No,0,3,7,4,6,5,7,9,10,2
48,No,0,4,2,6,5,10,2,9,9,4
49,Yes,48,1,1,6,9,7,6,1,5,2
50,No,0,5,3,5,3,1,4,8,1,5
51,No,0,7,8,6,1,1,5,10,2,5
52,No,0,7,10,6,3,5,2,4,7,3
53,Yes,12,2,3,9,8,8,9,8,2,1
54,No,0,2,4,1,6,8,8,5,2,9
55,No,0,1,9,7,6,3,7,3,2,10
56,Yes,7,8,8,10,1,7,8,5,9,9
57,Yes,31,3,3,7,3,2,3,6,9,3
58,Yes,27,4,2,4,5,1,8,7,2,2
59,No,0,4,7,4,10,10,9,2,4,1
60,Yes,29,5,8,2,8,9,1,9,8,7
61,No,0,10,1,5,6,9,10,9,7,5
62,No,0,3,4,7,3,8,1,1,9,8
63,No,0,5,6,1,9,6,6,9,4,5
64,Yes,28,8,6,5,10,10,5,2,8,8
65,No,0,8,10,2,3,6,3,6,5,4
66,No,0,9,10,10,2,9,10,6,10,5
67,No,0,3,9,5,3,1,9,1,5,9
68,No,0,7,5,9,5,10,7,8,10,7
69,Yes,24,2,8,1,10,9,1,3,10,5
70,No,0,9,1,4,1,5,6,9,3,3
71,Yes,2,5,4,6,4,6,5,10,6,4
72,Yes,48,5,9,2,6,6,3,2,1,6
73,No,0,4,10,5,6,5,6,7,5,5
74,No,0,1,6,8,5,2,8,8,1,9
75,Yes,15,5,1,9,6,3,8,10,5,9
76,No,0,3,10,10,6,10,6,1,1,2
77,No,0,1,1,4,8,4,7,6,9,2
78,No,0,8,4,8,9,1,5,3,3,8
79,No,0,5,5,1,9,8,5,10,8,8
80,No,0,6,8,2,2,1,5,5,1,3
81,No,0,8,4,9,7,2,7,8,10,2
82,No,0,4,3,6,10,1,6,8,10,1
83,No,0,5,9,6,10,10,5,9,3,1
